INFO  | 06/05/2025 03:39:25 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0650 iteration 00000650 = 0.009050106629729271
INFO  | 06/05/2025 03:39:30 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0660 iteration 00000660 = 0.009005472995340824
INFO  | 06/05/2025 03:39:35 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0670 iteration 00000670 = 0.008963387459516525
INFO  | 06/05/2025 03:39:40 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0680 iteration 00000680 = 0.008912269957363605
INFO  | 06/05/2025 03:39:45 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0690 iteration 00000690 = 0.0088650519028306
INFO  | 06/05/2025 03:39:50 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0700 iteration 00000700 = 0.008812393061816692
INFO  | 06/05/2025 03:39:50 AM | File gran_runner.py       | Line 270   | Saving Snapshot @ epoch 0700
INFO  | 06/05/2025 03:39:55 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0710 iteration 00000710 = 0.008762762881815434
INFO  | 06/05/2025 03:39:59 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0720 iteration 00000720 = 0.008699174039065838
INFO  | 06/05/2025 03:40:05 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0730 iteration 00000730 = 0.008639227598905563
INFO  | 06/05/2025 03:40:10 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0740 iteration 00000740 = 0.008578375913202763
INFO  | 06/05/2025 03:40:15 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0750 iteration 00000750 = 0.008513737469911575
INFO  | 06/05/2025 03:40:20 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0760 iteration 00000760 = 0.00844330620020628
INFO  | 06/05/2025 03:40:25 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0770 iteration 00000770 = 0.008377295918762684
INFO  | 06/05/2025 03:40:29 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0780 iteration 00000780 = 0.00832561869174242
INFO  | 06/05/2025 03:40:34 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0790 iteration 00000790 = 0.008251429535448551
